sys:1: DtypeWarning: Columns (2,6,7,8,9,10,11,12,14,19,21,34,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65) have mixed types.Specify dtype option on import or set low_memory=False.
Please note that this was run with git commit 6f43848 that has 553,082 genomes parsed and 20,946,107 total prophages

***********************************

Code	Country
[183]	1.5810481448282065e-05
[184]	-5.132821552699535e-05
[185]	5.31286246468754e-05
[186]	0.0008089988665880427
[188]	0.0
[189]	-0.00011648988390184495
[190]	1.059660018328662e-05
[191]	2.46639829848197e-05
[192]	2.1467118893468695e-05
[193]	-1.4156066498655084e-05
[194]	-0.00016583518493227395
[195]	0.00023283347325275816
[196]	3.4064918325249494e-05
[197]	3.308918040614145e-05
[198]	5.120069741579303e-05
[199]	2.9926386336968924e-05
[200]	0.00017047442456020329
[201]	-0.000363840278560075
[202]	9.156938823245975e-05
[203]	2.174216132528467e-05
[204]	3.639235527320289e-05
[205]	0.00014055338720567884
[206]	6.941656029920557e-05
[207]	0.0002832306851555319
[208]	0.00013349394432560918
[209]	9.315653285078135e-05
[210]	0.00022411701093186936
[211]	6.026723434356812e-05
[212]	0.00010522593517914985
[213]	0.00019919909096135363
[214]	-7.83115019549474e-06
[215]	6.289615514791513e-05
[216]	-4.1593280371683694e-05
[217]	0.00018771837821134757
[218]	2.9171002637683185e-05
[219]	-4.901462571454962e-06
[220]	0.00024679001829100433
[221]	-0.0008140229207150018
[222]	9.18798677794902e-05
[223]	-5.1551259702430074e-05
[224]	-1.8589749456995874e-05
[225]	2.35496415421782e-05
[226]	0.00010466615194102552
[228]	6.324723534000681e-05
[229]	6.84341895887397e-07
[230]	2.1913081406185753e-05
[231]	-4.6052206122901285e-06
