	Prophage	contig_length	gene_count	checkv_quality
159785	CFSA01000046.1_PP9	5958	9	Medium-quality
159793	CHKA01000037.1_PP8	5955	9	Medium-quality
159819	CFMA01000020.1_PP6	5954	9	Medium-quality
159831	CHKD01000040.1_PP9	5940	9	Medium-quality
159838	CHKE01000024.1_PP5	5739	9	Medium-quality
159870	CIFS01000047.1_PP10	5958	9	Medium-quality
159899	CHZJ01000040.1_PP9	5975	9	Medium-quality
159907	CFSG01000047.1_PP8	5565	10	Medium-quality
159917	CHZM01000041.1_PP8	5954	9	Medium-quality
159936	CHKF01000046.1_PP10	4609	7	Medium-quality
159945	CHDV01000039.1_PP7	5926	9	Medium-quality
159961	CFSN01000019.1_PP5	5958	9	Medium-quality
159987	CGCO01000038.1_PP9	5954	9	Medium-quality
160012	CGBC01000067.1_PP4	4823	7	Medium-quality
168762	LLXW01000129.1_PP3	5314	12	Medium-quality
197246	CP016358.1_PP1	5983	11	Medium-quality
209495	KV832923.1_PP4	5847	7	Medium-quality
237710	NBRI01000001.1_PP4	4799	6	Medium-quality
238295	ADJD01000023.1_PP4	4869	6	Medium-quality
250322	CP016322.1_PP4	4723	9	Medium-quality
254064	KZ269090.1_PP3	4656	6	Medium-quality
254367	KZ269735.1_PP3	5314	7	Medium-quality
266193	NWUQ01000002.1_PP4	5730	8	Medium-quality
266575	NXFM01000009.1_PP4	5730	8	Medium-quality
270282	NWRR01000042.1_PP13	5971	11	Medium-quality
270417	NWRX01000040.1_PP13	5971	11	Medium-quality
288057	NCNK01000046.1_PP1	5081	7	Medium-quality
289894	MCTC01000049.1_PP1	5085	7	Medium-quality
292953	CP025703.1_PP3	5773	8	Medium-quality
313250	BDSM01000020.1_PP1	5109	7	Medium-quality
350245	CP019290.1_PP1	4656	9	Medium-quality
382878	ROOC01000001.1_PP1	4734	7	Medium-quality
397447	RTAE01000001.1_PP1	5643	10	Medium-quality
401406	RTIS01000009.1_PP4	5460	9	Medium-quality
402236	RTST01000009.1_PP4	5460	9	Medium-quality
403650	RTYP01000003.1_PP5	5460	9	Medium-quality
409258	RVCT01000003.1_PP3	5460	9	Medium-quality
409661	RVGW01000023.1_PP7	5266	8	Medium-quality
411395	RVMX01000006.1_PP3	5460	9	Medium-quality
413544	RVZV01000003.1_PP4	5460	9	Medium-quality
418781	RWJW01000043.1_PP3	5319	12	Medium-quality
424906	AP018377.1_PP6	5954	10	Medium-quality
424914	AP018385.1_PP6	5954	10	Medium-quality
424922	AP018381.1_PP6	5954	10	Medium-quality
439110	AAAAZE010000007.1_PP4	5460	9	Medium-quality
439782	AAABEU020000015.1_PP4	5979	7	Medium-quality
441067	AAABEO010000027.1_PP9	5162	9	Medium-quality
441150	AAABHT010000007.1_PP4	5460	9	Medium-quality
443502	AAABKL010000003.1_PP5	5460	9	Medium-quality
446509	AAACKK010000002.1_PP3	5469	8	Medium-quality
446621	AAACGU010000009.1_PP6	5460	9	Medium-quality
448269	AAABJV010000002.1_PP3	5460	9	Medium-quality
462120	AAAFFJ010000004.1_PP4	5460	9	Medium-quality
463631	AAAFMH010000007.1_PP3	5460	9	Medium-quality
463869	AAAFNZ010000003.1_PP4	5460	9	Medium-quality
467124	AAAGAT010000003.1_PP4	5460	9	Medium-quality
467318	AAAGEE010000002.1_PP2	5460	9	Medium-quality
467379	AAAGKL010000003.1_PP3	5460	9	Medium-quality
468164	AAAGLC010000003.1_PP4	5460	9	Medium-quality
477976	CP032398.2_PP5	5433	8	Medium-quality
567539	RRGN01000022.1_PP6	5932	13	Medium-quality
597619	BFKN01000109.1_PP11	5957	11	Medium-quality
604378	BGDS01000055.1_PP10	5959	10	Medium-quality
615515	AACVYG010000016.1_PP4	5108	9	Medium-quality
616676	AACWFR010000001.1_PP1	4703	9	Medium-quality
619991	AACWXP010000001.1_PP1	5745	9	Medium-quality
628919	AACZLE010000047.1_PP8	5522	9	Medium-quality
631576	AACZST010000001.1_PP1	5649	10	Medium-quality
642609	AADCIQ010000001.1_PP4	5818	7	Medium-quality
645123	AADDKB010000063.1_PP8	5102	9	Medium-quality
654355	AADEXW010000005.1_PP2	5926	11	Medium-quality
656874	AADFNF010000001.1_PP1	4789	8	Medium-quality
669159	AADIIK010000001.1_PP2	5435	8	Medium-quality
681332	AADLDZ010000001.1_PP1	5649	10	Medium-quality
699133	AADQOI010000004.1_PP3	5180	9	Medium-quality
704348	AADPTZ010000001.1_PP3	5848	7	Medium-quality
705176	AADQVG010000001.1_PP2	5555	8	Medium-quality
707010	AADRUJ010000036.1_PP3	5391	9	Medium-quality
711307	AADTNZ010000002.1_PP1	4734	7	Medium-quality
717281	AADUCX010000001.1_PP2	5920	10	Medium-quality
728995	AADWIP010000001.1_PP1	5200	8	Medium-quality
752449	AAEBEM010000048.1_PP5	5108	9	Medium-quality
758106	VCPZ01000072.1_PP6	5186	7	Medium-quality
816634	AAEPZG010000001.1_PP1	4397	7	Medium-quality
838405	AAEUMC010000002.1_PP1	4214	6	Medium-quality
838472	AAEUMU010000001.1_PP2	4826	6	Medium-quality
843920	AAEVFQ010000012.1_PP3	5108	9	Medium-quality
850641	AAEXLV010000022.1_PP3	5153	9	Medium-quality
871195	AAFCVZ010000001.1_PP1	5034	7	Medium-quality
874849	AAFDJM010000002.1_PP1	4933	8	Medium-quality
938371	AAFPZA010000002.1_PP2	5804	12	Medium-quality
952747	AAFUMO010000001.1_PP2	5649	10	Medium-quality
970355	AAFYDP010000057.1_PP4	5108	9	Medium-quality
978990	VIHO01000051.1_PP7	4970	7	Medium-quality
984235	AAGBFR010000001.1_PP1	5649	10	Medium-quality
1006980	AAGGJK010000001.1_PP2	5920	10	Medium-quality
1008727	AAGGVV010000021.1_PP3	4992	7	Medium-quality
1024545	AAGJTM010000001.1_PP1	5609	9	Medium-quality
1030963	AAGLOW010000015.1_PP4	5164	9	Medium-quality
1042485	AAGOLJ010000051.1_PP5	4734	7	Medium-quality
1065671	AAGTTL010000099.1_PP5	5460	9	Medium-quality
1066534	AAGTWM010000002.1_PP3	5460	9	Medium-quality
1066561	AAGTWW010000004.1_PP5	5460	9	Medium-quality
1068194	AAGUHN010000006.1_PP4	5460	9	Medium-quality
1068661	AAGUKR010000004.1_PP4	5460	9	Medium-quality
1068717	AAGULP010000005.1_PP3	5460	9	Medium-quality
1069613	AAGUOA010000008.1_PP4	5460	9	Medium-quality
1069655	AAGUQD010000006.1_PP4	5460	9	Medium-quality
1069911	AAGUQM010000002.1_PP3	5460	9	Medium-quality
1070132	AAGUTE010000008.1_PP3	5460	9	Medium-quality
1070356	AAGUTZ010000004.1_PP3	5460	9	Medium-quality
1070941	AAGUXR010000009.1_PP5	5460	9	Medium-quality
1077347	AAGWDA010000002.1_PP3	5460	9	Medium-quality
1077583	AAGWCW010000001.1_PP2	4846	6	Medium-quality
1077699	AAGWDL010000004.1_PP5	5460	9	Medium-quality
1077793	AAGWEV010000003.1_PP4	5460	9	Medium-quality
1077913	AAGWFM010000003.1_PP5	5460	9	Medium-quality
1107349	AAHCAX010000009.1_PP5	4898	8	Medium-quality
1109985	AAHCXI010000007.1_PP4	5460	9	Medium-quality
1111986	AAHDGF010000005.1_PP4	5460	9	Medium-quality
1112653	AAHDLD010000007.1_PP3	5460	9	Medium-quality
1115316	AAHDZJ010000008.1_PP4	5460	9	Medium-quality
1116159	AAHEFJ010000003.1_PP5	5460	9	Medium-quality
1116397	AAHEGF010000004.1_PP3	5890	7	Medium-quality
1117274	AAHERT010000015.1_PP5	5748	11	Medium-quality
1123915	AAHGHR010000003.1_PP2	4980	7	Medium-quality
1131621	AAHHUL010000010.1_PP6	5460	9	Medium-quality
1132791	AAHHZV010000007.1_PP4	5460	9	Medium-quality
1137436	AAHJAA010000109.1_PP4	5460	9	Medium-quality
1139786	AAHJHP010000005.1_PP7	4785	7	Medium-quality
1142626	AAHJZX010000001.1_PP2	5439	9	Medium-quality
1147083	AAHKXV010000002.1_PP1	5546	6	Medium-quality
1151240	AAHLEG010000006.1_PP4	5460	9	Medium-quality
1154608	AAHMNC010000002.1_PP3	5460	9	Medium-quality
1156259	AAHMUY010000012.1_PP5	5460	9	Medium-quality
1156279	AAHMYZ010000008.1_PP2	5460	9	Medium-quality
1157318	AAHNEU010000007.1_PP5	5460	9	Medium-quality
1159141	AAHNKM010000003.1_PP4	5460	9	Medium-quality
1161235	AAHNVI010000003.1_PP5	5460	9	Medium-quality
1161797	AAHOAC010000005.1_PP4	5460	9	Medium-quality
1161911	AAHOAT010000003.1_PP5	5460	9	Medium-quality
1162142	AAHOCL010000006.1_PP3	5460	9	Medium-quality
1162881	AAHOGH010000009.1_PP4	5460	9	Medium-quality
1163161	AAHONA010000003.1_PP3	5460	9	Medium-quality
1163811	AAHOMV010000001.1_PP2	5460	9	Medium-quality
1166729	AAHQOD010000003.1_PP2	5460	9	Medium-quality
1168815	AAHOVT010000003.1_PP5	5460	9	Medium-quality
1170098	AAHPSX010000008.1_PP4	5460	9	Medium-quality
1170355	AAHPZH010000002.1_PP3	5460	9	Medium-quality
1172833	AAHPPI010000007.1_PP5	5460	9	Medium-quality
1174321	AAHQZR010000009.1_PP3	5460	9	Medium-quality
1174381	AAHRBA010000003.1_PP3	5460	9	Medium-quality
1174555	AAHRDH010000010.1_PP5	5460	9	Medium-quality
1174657	AAHQZY010000009.1_PP4	5460	9	Medium-quality
1174877	AAHRBV010000003.1_PP4	5460	9	Medium-quality
1175059	AAHRDN010000007.1_PP4	5460	9	Medium-quality
1175121	AAHRFQ010000002.1_PP3	5460	9	Medium-quality
1175324	AAHRER010000008.1_PP5	5460	9	Medium-quality
1175368	AAHREX010000004.1_PP4	5460	9	Medium-quality
1175537	AAHRII010000003.1_PP3	5460	9	Medium-quality
1175554	AAHRGR010000007.1_PP3	5460	9	Medium-quality
1175561	AAHRGL010000003.1_PP4	5460	9	Medium-quality
1175586	AAHRIK010000003.1_PP3	5460	9	Medium-quality
1175652	AAHRGV010000008.1_PP4	5460	9	Medium-quality
1175741	AAHRHP010000003.1_PP3	5460	9	Medium-quality
1177673	AAHRVE010000009.1_PP4	5460	9	Medium-quality
1178166	AAHRWM010000007.1_PP4	5460	9	Medium-quality
1178544	AAHSBS010000003.1_PP4	5460	9	Medium-quality
1178790	AAHSDC010000004.1_PP4	5460	9	Medium-quality
1179099	AAHSEJ010000008.1_PP4	5460	9	Medium-quality
1180067	AAHSGT010000024.1_PP7	4947	7	Medium-quality
1180565	AAHSKH010000002.1_PP2	5460	9	Medium-quality
1180719	AAHSLG010000003.1_PP3	5460	9	Medium-quality
1181969	AAHSVI010000001.1_PP1	5460	9	Medium-quality
1182016	AAHSVN010000008.1_PP3	5460	9	Medium-quality
1183032	AAHSYF010000008.1_PP2	5460	9	Medium-quality
1183077	AAHSZN010000003.1_PP3	5460	9	Medium-quality
1183977	AAHTHJ010000007.1_PP4	5460	9	Medium-quality
1184084	AAHTJH010000002.1_PP2	5460	9	Medium-quality
1184407	AAHTKD010000002.1_PP2	5460	9	Medium-quality
1184808	AAHTNJ010000003.1_PP4	5460	9	Medium-quality
1184850	AAHTNR010000004.1_PP4	5460	9	Medium-quality
1186621	AAHTWP010000003.1_PP4	5460	9	Medium-quality
1187075	AAHUAY010000006.1_PP4	5460	9	Medium-quality
1187157	AAHUBI010000006.1_PP3	5460	9	Medium-quality
1187240	AAHUCJ010000001.1_PP1	5460	9	Medium-quality
1187285	AAHUEH010000004.1_PP3	5460	9	Medium-quality
1187628	AAHUGV010000009.1_PP4	5460	9	Medium-quality
1188314	AAHUIG010000002.1_PP3	5460	9	Medium-quality
1188903	AAHULP010000003.1_PP4	5460	9	Medium-quality
1189078	AAHULZ010000006.1_PP3	5460	9	Medium-quality
1189151	AAHUNQ010000008.1_PP5	5460	9	Medium-quality
1189162	AAHUMW010000004.1_PP4	5460	9	Medium-quality
1189470	AAHUPI010000003.1_PP4	5460	9	Medium-quality
1189493	AAHUQU010000008.1_PP3	5460	9	Medium-quality
1189574	AAHUQV010000010.1_PP4	5460	9	Medium-quality
1189659	AAHUPS010000003.1_PP3	5460	9	Medium-quality
1190132	AAHUTQ010000007.1_PP3	5460	9	Medium-quality
1191802	AAHVCM010000003.1_PP2	5460	9	Medium-quality
1191825	AAHVCW010000002.1_PP2	5460	9	Medium-quality
1191834	AAHVDD010000001.1_PP1	5460	9	Medium-quality
1191925	AAHVCY010000001.1_PP1	5460	9	Medium-quality
1192004	AAHVEP010000007.1_PP2	5460	9	Medium-quality
1192017	AAHVES010000009.1_PP4	5460	9	Medium-quality
1192054	AAHVFD010000001.1_PP1	4602	6	Medium-quality
1192125	AAHVFO010000004.1_PP2	5460	9	Medium-quality
1192132	AAHVFL010000003.1_PP4	5460	9	Medium-quality
1192163	AAHVFV010000002.1_PP3	5460	9	Medium-quality
1192191	AAHVGA010000003.1_PP3	5460	9	Medium-quality
1192234	AAHVGF010000002.1_PP3	5460	9	Medium-quality
1192288	AAHVGU010000009.1_PP5	5460	9	Medium-quality
1192369	AAHVHG010000006.1_PP2	5460	9	Medium-quality
1192422	AAHVIC010000003.1_PP3	5460	9	Medium-quality
1192649	AAHVIX010000003.1_PP3	5460	9	Medium-quality
1192801	AAHVKM010000008.1_PP3	5460	9	Medium-quality
1193211	AAHVMD010000002.1_PP2	5460	9	Medium-quality
1193304	AAHVMV010000007.1_PP4	5460	9	Medium-quality
1194490	AAHVTG010000002.1_PP2	5460	9	Medium-quality
1195922	AAHWET010000007.1_PP4	5460	9	Medium-quality
1196289	AAHWIV010000004.1_PP3	5460	9	Medium-quality
1196411	AAHWHI010000007.1_PP4	5460	9	Medium-quality
1197566	AAHWNC010000006.1_PP4	5460	9	Medium-quality
1198230	AAHWUC010000002.1_PP3	5460	9	Medium-quality
1198291	AAHWVW010000003.1_PP3	5460	9	Medium-quality
1198518	AAHWSU010000002.1_PP3	5460	9	Medium-quality
1198727	AAHWVE010000007.1_PP3	5460	9	Medium-quality
1198989	AAHWVT010000003.1_PP3	5460	9	Medium-quality
1202778	AAHYPO010000012.1_PP5	5609	9	Medium-quality
1203833	AAHXFF010000002.1_PP2	5460	9	Medium-quality
1203932	AAHXGH010000001.1_PP1	5460	9	Medium-quality
1204413	AAHXKV010000004.1_PP3	5460	9	Medium-quality
1205335	AAHXSA010000025.1_PP2	5926	11	Medium-quality
1221221	AAIDKC010000004.1_PP4	5460	9	Medium-quality
1221981	AAIDLD010000028.1_PP5	4974	7	Medium-quality
1222290	AAIDNV010000006.1_PP3	5460	9	Medium-quality
1222348	AAIDOF010000007.1_PP4	5460	9	Medium-quality
1222669	AAIDXV010000009.1_PP4	5460	9	Medium-quality
1224766	AAIEAA010000003.1_PP3	5460	9	Medium-quality
1224831	AAIEBO010000004.1_PP3	5460	9	Medium-quality
1225120	AAIEDH010000006.1_PP2	5460	9	Medium-quality
1225521	AAIEGR010000053.1_PP7	5460	9	Medium-quality
1225907	AAIEKH010000004.1_PP3	5460	9	Medium-quality
1227639	AAIETN010000004.1_PP4	5460	9	Medium-quality
1227812	AAIEUV010000004.1_PP3	5460	9	Medium-quality
1228082	AAIEWH010000028.1_PP5	4800	7	Medium-quality
1237680	AAIHBF010000016.1_PP6	5108	9	Medium-quality
1237821	AAIGYY010000012.1_PP3	5781	11	Medium-quality
1243284	AAIICD010000059.1_PP6	4830	8	Medium-quality
1248846	AAIJJG010000087.1_PP5	5460	9	Medium-quality
1248878	AAIJHI010000007.1_PP2	5460	9	Medium-quality
1249314	AAIJLD010000007.1_PP2	5460	9	Medium-quality
1251288	AAIJWE010000009.1_PP3	5460	9	Medium-quality
1256476	AAILBF010000007.1_PP3	5460	9	Medium-quality
1268488	AAINPO010000008.1_PP3	5460	9	Medium-quality
1268826	AAINPW010000006.1_PP2	5460	9	Medium-quality
1270114	AAINXJ010000004.1_PP2	5460	9	Medium-quality
1275049	AAIPBA010000034.1_PP3	5926	11	Medium-quality
1331218	AAJBYW010000001.1_PP1	5593	8	Medium-quality
1386471	AAJQPG010000221.1_PP15	5834	10	Medium-quality
1469395	AAKNHY010000001.1_PP2	5555	8	Medium-quality
1484287	AAKQPB010000022.1_PP2	5034	7	Medium-quality
1489073	AAKRLC010000001.1_PP2	5830	7	Medium-quality
1493191	AAKSNH010000014.1_PP2	4984	8	Medium-quality
1495906	AAKTHS010000001.1_PP2	4305	5	Medium-quality
1522651	BJRU01000191.1_PP12	5975	12	Medium-quality
1548631	AALCVF010000001.1_PP1	5371	8	Medium-quality
1556453	VZEN01000013.1_PP1	5950	10	Medium-quality
1567346	AALGTB010000065.1_PP6	5750	10	Medium-quality
1622075	AALTSU010000002.1_PP3	5460	9	Medium-quality
1630631	AALVVJ010000001.1_PP1	5900	13	Medium-quality
1638280	AALXFB010000001.1_PP1	5586	9	Medium-quality
1660544	AALWCZ010000001.1_PP1	5460	9	Medium-quality
1665924	AAMBYL010000004.1_PP2	5164	9	Medium-quality
1690467	AAMHFF010000007.1_PP3	5435	9	Medium-quality
1692095	AAMHPU010000002.1_PP1	5108	9	Medium-quality
1734973	AAMPTE010000001.1_PP1	4385	7	Medium-quality
1737572	AAMQKI010000108.1_PP7	5994	9	Medium-quality
1761283	AAMWON010000001.1_PP2	5186	7	Medium-quality
1781239	AAMZLT010000017.1_PP2	5306	9	Medium-quality
1782666	AAMZTU010000011.1_PP4	4974	7	Medium-quality
1812074	WNZM01000096.1_PP7	4633	8	Medium-quality
1822484	AWPK01000045.1_PP2	4852	11	Medium-quality
1922404	AANRRX010000001.1_PP2	4549	6	Medium-quality
1923707	AANRTM010000001.1_PP2	5204	7	Medium-quality
1934136	AANUSB010000013.1_PP6	5354	9	Medium-quality
1938228	AANVGQ010000001.1_PP2	4826	6	Medium-quality
1941246	AANWHM010000001.1_PP1	4962	7	Medium-quality
1948931	AANXFN010000003.1_PP2	5765	12	Medium-quality
1969511	AAOBRV010000014.1_PP4	5164	9	Medium-quality
2007710	AAOHZG010000008.1_PP4	5519	9	Medium-quality
2035426	AAONAE010000001.1_PP2	4826	6	Medium-quality
2055555	AAORHP010000042.1_PP6	5308	9	Medium-quality
2104966	AAOZRG010000012.1_PP3	5108	9	Medium-quality
2138196	AAPHVZ010000003.1_PP1	5624	9	Medium-quality
2140847	AAPIGV010000022.1_PP5	4408	6	Medium-quality
2142396	AAPIPH010000001.1_PP1	4826	6	Medium-quality
2186168	AAPRKZ010000001.1_PP2	5204	7	Medium-quality
2189333	AAPSAD010000040.1_PP6	5108	9	Medium-quality
2189876	AAPSIW010000039.1_PP5	4698	7	Medium-quality
2199027	AAPTOZ010000006.1_PP4	5975	8	Medium-quality
2232307	AAPZOJ010000001.1_PP3	4769	6	Medium-quality
2238215	AAQAUF010000002.1_PP2	5272	9	Medium-quality
2269320	AAQHXC010000009.1_PP5	5164	9	Medium-quality
2376892	AAQZZW010000019.1_PP7	5915	9	Medium-quality
2395235	AARBRO010000035.1_PP10	5928	10	Medium-quality
2485434	JAAUIT010000039.1_PP9	4643	8	Medium-quality
2505303	AAROCQ010000020.1_PP4	5956	7	Medium-quality
2539990	AARRWX010000029.1_PP6	5959	10	Medium-quality
2553408	AARUHC010000007.1_PP2	5889	11	Medium-quality
2572350	AARXPE010000016.1_PP4	5957	8	Medium-quality
2611291	AASBJD010000007.1_PP2	5936	9	Medium-quality
2619334	JAABJV010000057.1_PP8	5078	5	Medium-quality
2637882	AASGGL010000019.1_PP6	5978	8	Medium-quality
2648655	AASERN010000067.1_PP8	5940	12	Medium-quality
2651448	AASEHC010000006.1_PP3	5891	8	Medium-quality
2698412	AASLZM010000037.1_PP8	5016	7	Medium-quality
2713577	DAAZQE010000003.1_PP2	5162	7	Medium-quality
2744052	AASQQW010000010.1_PP1	5951	11	Medium-quality
2755788	DABAQZ010000002.1_PP1	5031	7	Medium-quality
2863513	AATDUN010000014.1_PP2	5959	11	Medium-quality
2892325	AATGCD010000032.1_PP7	5902	9	Medium-quality
2900962	AATHDL010000001.1_PP1	5925	9	Medium-quality
2904123	AATHNY010000014.1_PP3	5957	8	Medium-quality
2932550	DABFAS010000004.1_PP3	4656	6	Medium-quality
2971189	AATOJJ010000022.1_PP4	5888	10	Medium-quality
2980670	AATOYR010000004.1_PP1	5207	7	Medium-quality
3052995	FETU01000035.1_PP4	5864	8	Medium-quality
3053652	FETY01000060.1_PP9	5065	6	Medium-quality
3053730	FEQK01000047.1_PP7	5757	9	Medium-quality
